Number;Start time in milliseconds;End time in milliseconds;"Text"
213;4820689;4823689;"Abhijeet Katore: All good"
214;4822513;4825513;"Prithvi Sonar: yup"
215;4822996;4825996;"Shambhavi Sinha: yupp"
216;4823510;4826510;"Aman Shinde: go on"
217;4824509;4827509;"Sanjyot Panure: wait"
218;4828287;4831287;"Aditi Naik: Move forward"
219;4829366;4832366;"SIDDHANT SINGH: next node sir"
220;4830606;4833606;"Shambhavi Sinha: go on"
221;5005103;5008103;"Prithvi Sonar: yup"
222;5031212;5034212;"bhavesh joshi: Repeat entity"
223;5106951;5109951;"bhavesh joshi: Okay"
224;5242798;5245798;"Prithvi Sonar: weekdays"
225;5286685;5289685;"Prithvi Sonar: yup"
226;5405953;5408953;"Tamal Samanta: Aa gaya smjh"
227;5406372;5409372;"Prithvi Sonar: when i ask the chatbot about the timings...it gives me the did you mean?"
228;5407126;5410126;"Shambhavi Sinha: samjha"
229;5415347;5418347;"Aditi Naik: We understood"
230;5417835;5420835;"rupali shivpure: Understood"
231;5444893;5447893;"Prithvi Sonar: the chatbot asks whether i meant entity location and stuff"
232;5501753;5504753;"Ayush Jha: fwd.."
233;5502742;5505742;"SIDDHANT SINGH: frwd"
234;5503986;5506986;"rupali shivpure: Go on"
235;5504505;5507505;"Aditi Naik: No doubts"
236;5518142;5521142;"Prithvi Sonar: ok fixed it"
237;5520041;5523041;"Prithvi Sonar: thanks"
238;5754333;5757333;"Ayush Jha: please show the entity page as due connection i missed it"
239;5837826;5840826;"sonal shitole: wait"
240;5848644;5851644;"Varshitha Reddy: Repeat"
241;5858146;5861146;"umesh inamdar: repeat please"
242;5862561;5865561;"Swarnim Rai: repeat enquiry from begining"
243;5890158;5893158;"Ajinkya Gothankar: how to delete dialogs and rearrange them"
244;6028357;6031357;"Anjali Mudaliar: click on 3 dots for deleting a dialog"
245;6092605;6095605;"Prithvi Sonar: wait"
246;6106233;6109233;"Abhijeet Katore: No all good"
247;6115524;6118524;"Sanjyot Panure: done"
248;6207957;6210957;"Anjali Mudaliar: and you can use move for rearranging the dialogs"
249;6212675;6215675;"Abhijeet Katore: All good"
250;6217862;6220862;"Srinevetha A R: No doubts..it was clear"
251;6221175;6224175;"Arya Pathrikar: No doubt"
252;6222213;6225213;"Aditi Mahale: no"
253;6223831;6226831;"Anjali Mudaliar: nope"
254;6229319;6232319;"Prithvi Sonar: having problem with image"
255;6379036;6382036;"Prithvi Sonar: nah its taken care of"
256;6511691;6514691;"Vishesh Waghmare: Cool"
257;6525267;6528267;"Abhijeet Katore: Done"
258;6527690;6530690;"Aditi Naik: No doubts"
259;6528744;6531744;"sonal shitole: done"
260;6532763;6535763;"Tamal Samanta: My bot replied with both answers for thanks"
261;6536004;6539004;"Abhinandan Padmakar Pandey: img is not showing , worning"
262;6558072;6561072;"SIDDHANT SINGH: abhinandan make sure the url diectly opens the image not a website"
263;6637240;6640240;"Abhinandan Padmakar Pandey: please repeat"
264;6650492;6653492;"umesh inamdar: pl repeat"
265;6653371;6656371;"Samiksha Nehe: Repeat"
266;6655665;6658665;"Rutuja Inamke: Please repeat"
267;6665607;6668607;"Vishesh Waghmare: Sahej repeat the steps to open UI once"
268;6671049;6674049;"Vishesh Waghmare: Don't show demo again"
269;6696172;6699172;"Ayush Jha: yes please repeat the ui part"
270;6767210;6770210;"Manali Gadiya: Can we change chatbox after creating link?"
271;6778078;6781078;"SIDDHANT SINGH: yes manali"
272;6811353;6814353;"SIDDHANT SINGH: you can change the dialogflow ... train ur assistant and the ui will be updates automatically"
273;6811576;6814576;"Manali Gadiya: Ok thank you"
274;6818461;6821461;"Abhinandan Padmakar Pandey: yes"
275;6820780;6823780;"SIDDHANT SINGH: updated*"
276;6821548;6824548;"umesh inamdar: yaa"
277;6825059;6828059;"umesh inamdar: thanks"
278;6826236;6829236;"Sanjyot Panure: yes"
279;6852857;6855857;"Vishesh Waghmare: Sahej handover to ishali if you are done"
280;6867922;6870922;"Ajinkya Gothankar: can you repeat the ui part pls"
281;6870017;6873017;"Tamal Samanta: Thankyou!"
282;6871850;6874850;"bhavesh joshi: Thank u"
283;6876521;6879521;"Sadiya Shaikh: thank you"
284;6877417;6880417;"Srinevetha A R: Thank you!"
285;6881075;6884075;"Arya Pathrikar: Thank you!"
286;6886778;6889778;"Shraddha Jagtap: Thank you"
287;6890056;6893056;"SIDDHANT SINGH: ajinkya check the yt video later"
288;6898664;6901664;"SIDDHANT SINGH: we are already running late"
289;6921006;6924006;"ishali jadhav: https://drive.google.com/drive/folders/1rxDSKfNOno3LLz8RXH6HXzms9ZP1AJ6U"
290;6947368;6950368;"aditi kanade: yaa"
291;6949534;6952534;"SIDDHANT SINGH: its working"
292;6958680;6961680;"bhavesh joshi: Can you send link in WhatsApp group"
293;6960165;6963165;"janhavi pawar: yes"
294;6965151;6968151;"SIDDHANT SINGH: sure"
